날짜,3.22,3.23,3.25,3.26,3.27,3.28,3.29,3.30,4.1,4.2,4.3,4.4,4.5,4.6,4.8,4.9,4.10,4.11,4.12,4.13,4.15,4.16,4.17,4.18,4.19,4.20,4.22,4.23,4.24,4.25,4.26,4.27,4.29,4.30,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.9,5.10.1,5.10.2,5.11.1,5.11.2,5.13,5.14,5.15,5.16,5.17.1,5.17.2,5.18,5.20,5.21,5.22,5.23,5.24,5.25,5.27,5.28,5.29,5.30,5.31,6.1,6.3,6.4,6.5,6.6,6.7,6.8,6.10,6.11,6.12,6.13,6.14,6.15,6.17,6.18,6.19,6.20,6.21,6.22,6.24,6.25,6.26,6.27,6.28,6.29,7.1,7.2,7.3,7.4,7.5,7.6,7.8,7.9,7.10,7.17,7.18,7.19,7.20,7.22,7.23,7.24,7.25,7.26,7.27,7.29,7.30,7.31,8.1,8.2,8.3,8.5,8.6,8.7,8.8,8.9,8.10,8.12,8.13,8.14,8.15,8.16,8.17,8.19,8.20,8.21,8.22,8.23,8.24,8.26,8.27,8.28,8.29,8.30,8.31,9.2,9.3,9.4,9.5,9.6,9.7,9.9,9.10,9.11,9.12,9.13,9.14,9.16,9.17,9.18,9.19,9.20,9.21,9.23,9.24,9.25,9.26,9.27,9.28,9.30
KIA,1,-1,1,-1,-1,-1,-1,1,,-1,1,-1,,-1,1,1,-1,-1,,1,1,-1,1,-1,1,1,,-1,-1,-1,1,1,1,-1,,-1,,-1,1,1,-1,,,1,-1,-1,1,-1,1,,1,1,1,-1,-1,1,1,-1,-1,1,1,0,-1,-1,1,1,1,-1,1,-1,1,-1,1,-1,-1,1,1,1,1,1,,0,1,-1,1,0,-1,1,1,1,-1,1,1,1,-1,-1,-1,-1,,,,1,-1,-1,-1,-1,-1,-1,-1,0,1,1,,,1,-1,1,-1,,-1,1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,,,1,-1,,1,-1,1,1,-1,,,,,,,,,,,,,
삼성,1,1,1,-1,-1,-1,1,1,,1,-1,1,-1,1,1,-1,1,-1,,-1,-1,-1,1,-1,1,-1,,1,1,1,1,1,1,0,-1,1,-1,-1,-1,-1,-1,,-1,-1,-1,,1,-1,1,,-1,-1,-1,1,1,1,-1,1,1,1,,1,1,1,1,-1,-1,1,1,-1,1,1,-1,1,,-1,-1,1,1,-1,-1,,-1,,1,-1,-1,-1,-1,1,-1,1,1,1,-1,-1,-1,-1,,,,1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,1,1,0,1,1,-1,1,1,1,1,1,-1,1,1,1,,-1,,1,-1,1,,-1,-1,,-1,1,,,,,,,,,,,,,
LG,1,1,1,1,1,1,1,,,-1,1,1,,1,1,-1,1,1,1,-1,1,1,-1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,,-1,1,1,-1,1,-1,,1,1,1,,1,1,1,,-1,-1,1,1,0,-1,1,-1,1,1,-1,1,-1,-1,-1,1,-1,1,-1,-1,1,-1,1,1,,0,-1,-1,1,-1,,-1,1,-1,,1,1,-1,-1,1,-1,-1,-1,-1,1,1,1,-1,,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,,,1,-1,1,1,1,0,1,1,1,-1,1,1,-1,1,-1,1,,1,,,-1,-1,1,-1,,-1,1,,,,,,,,,,,,,
두산,-1,-1,-1,1,-1,1,-1,-1,,1,1,1,-1,1,1,-1,-1,-1,-1,1,,,,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,0,-1,1,1,1,-1,1,,,0,-1,-1,1,1,1,,-1,-1,-1,-1,-1,1,0,-1,1,-1,1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,,1,1,-1,-1,1,,1,-1,1,,-1,-1,-1,1,-1,1,-1,-1,1,1,1,-1,1,,,1,1,-1,1,0,-1,-1,1,1,0,-1,-1,1,-1,-1,1,-1,1,1,-1,-1,,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,1,0,-1,,,1,1,,,-1,-1,,-1,-1,-1,,,,,,,,,,,,,
KT,-1,1,1,-1,1,1,-1,0,,1,-1,-1,,-1,1,1,-1,1,,1,-1,1,-1,-1,1,1,1,-1,-1,1,-1,-1,1,1,0,-1,1,1,-1,-1,-1,,,-1,-1,0,-1,1,-1,,1,1,-1,1,1,-1,1,1,1,1,-1,1,1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,,1,1,-1,-1,-1,,1,-1,1,,-1,1,1,-1,-1,1,1,1,-1,-1,-1,1,1,,-1,-1,-1,1,1,1,1,-1,1,-1,-1,-1,-1,-1,0,1,-1,1,-1,1,1,-1,,,-1,-1,1,1,-1,-1,1,1,1,-1,1,-1,-1,1,1,-1,1,-1,,,,1,,1,,1,-1,,,,,,,,,,,,,
SSG,1,1,-1,1,1,-1,-1,1,,,,1,,1,-1,1,-1,1,,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,-1,-1,-1,0,1,1,-1,-1,1,-1,-1,,,-1,1,1,1,-1,1,,-1,1,1,1,1,-1,-1,1,-1,0,1,1,-1,1,1,1,1,-1,-1,-1,1,1,-1,-1,,-1,1,1,-1,1,,0,-1,-1,,1,1,-1,1,-1,1,-1,1,1,-1,1,-1,-1,,,-1,-1,-1,-1,1,-1,1,1,1,0,1,1,-1,1,-1,1,-1,1,,1,1,,-1,-1,1,-1,-1,1,1,1,-1,-1,1,-1,-1,1,-1,1,1,1,,1,,1,,-1,1,,-1,,,,,,,,,,,,,,
롯데,-1,-1,1,-1,-1,-1,1,0,,1,1,-1,1,-1,-1,-1,1,1,1,-1,1,1,1,1,-1,1,,-1,1,1,1,-1,1,1,1,1,-1,-1,-1,1,1,,,1,1,0,-1,1,-1,,1,1,1,-1,0,1,-1,1,-1,-1,,-1,1,-1,-1,1,-1,-1,-1,1,1,-1,1,1,,1,-1,-1,1,1,1,,1,,-1,1,-1,-1,1,-1,1,1,-1,-1,1,-1,1,-1,,-1,1,-1,-1,1,1,1,1,1,1,-1,1,-1,1,1,-1,1,-1,-1,,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,1,1,-1,1,-1,0,1,-1,-1,,-1,,,-1,-1,1,,1,,,,,,,,,,,,,,
한화,1,-1,-1,-1,-1,1,1,-1,,-1,-1,-1,1,-1,-1,1,1,1,-1,1,1,1,1,1,1,1,,1,-1,-1,1,1,1,1,,1,,1,1,1,1,1,1,,1,,-1,-1,-1,,1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,1,-1,1,1,-1,-1,1,-1,1,1,1,,0,1,1,-1,-1,,,1,,-1,1,-1,1,-1,1,-1,0,1,1,1,1,1,1,,1,1,1,1,-1,0,1,-1,-1,-1,1,1,-1,,,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,,,1,-1,1,1,,,1,-1,,,,,,,,,,,,,
NC,-1,1,-1,1,1,-1,-1,,,,,-1,1,1,-1,-1,1,-1,-1,1,,,,-1,-1,-1,1,-1,1,-1,-1,-1,-1,1,,-1,1,1,1,1,1,,,0,1,1,-1,1,-1,,1,-1,1,-1,1,1,0,1,-1,0,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,0,1,1,1,-1,-1,1,-1,1,,-1,1,,1,-1,1,1,-1,-1,1,0,-1,-1,1,1,1,1,,,,-1,-1,-1,-1,1,1,1,-1,1,-1,1,1,0,-1,-1,-1,1,,1,1,,-1,-1,1,1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,1,,1,-1,,1,1,,,,,,,,,,,,,
키움,-1,-1,-1,1,1,1,1,-1,,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,,-1,,-1,-1,-1,,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,-1,1,1,1,1,-1,0,-1,-1,,-1,-1,-1,1,-1,,,-1,1,-1,0,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,,,,-1,1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,1,1,1,-1,-1,1,-1,,1,1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,,-1,,,1,,1,,-1,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
날짜,3.22,3.23,3.25,3.26,3.27,3.28,3.29,3.30,4.1,4.2,4.3,4.4,4.5,4.6,4.8,4.9,4.10,4.11,4.12,4.13,4.15,4.16,4.17,4.18,4.19,4.20,4.22,4.23,4.24,4.25,4.26,4.27,4.29,4.30,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.9,5.10.1,5.10.2,5.11.1,5.11.2,5.13,5.14,5.15,5.16,5.17.1,5.17.2,5.18,5.20,5.21,5.22,5.23,5.24,5.25,5.27,5.28,5.29,5.30,5.31,6.1,6.3,6.4,6.5,6.6,6.7,6.8,6.10,6.11,6.12,6.13,6.14,6.15,6.17,6.18,6.19,6.20,6.21,6.22,6.24,6.25,6.26,6.27,6.28,6.29,7.1,7.2,7.3,7.4,7.5,7.6,7.8,7.9,7.10,7.17,7.18,7.19,7.20,7.22,7.23,7.24,7.25,7.26,7.27,7.29,7.30,7.31,8.1,8.2,8.3,8.5,8.6,8.7,8.8,8.9,8.10,8.12,8.13,8.14,8.15,8.16,8.17,8.19,8.20,8.21,8.22,8.23,8.24,8.26,8.27,8.28,8.29,8.30,8.31,9.2,9.3,9.4,9.5,9.6,9.7,9.9,9.10,9.11,9.12,9.13,9.14,9.16,9.17,9.18,9.19,9.20,9.21,9.23,9.24,9.25,9.26,9.27,9.28,9.30
KIA,1,0,1,0,-1,-2,-3,-2,-2,-3,-2,-3,-3,-4,-3,-2,-3,-4,-4,-3,-2,-3,-2,-3,-2,-1,-1,-2,-3,-4,-3,-2,-1,-2,-2,-3,-3,-4,-3,-2,-3,-3,-3,-2,-3,-4,-3,-4,-3,-3,-2,-1,0,-1,-2,-1,0,-1,-2,-1,0,0,-1,-2,-1,0,1,0,1,0,1,0,1,0,-1,0,1,2,3,4,4,4,5,4,5,5,4,5,6,7,6,7,8,9,8,7,6,5,5,5,5,6,5,4,3,2,1,0,-1,-1,0,1,1,1,2,1,2,1,1,0,1,2,3,2,1,0,1,0,-1,-2,-3,-4,-5,-4,-3,-2,-3,-4,-5,-6,-6,-6,-5,-6,-6,-5,-6,-5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
삼성,1,2,3,2,1,0,1,2,2,3,2,3,2,3,4,3,4,3,3,2,1,0,1,0,1,0,0,1,2,3,4,5,6,6,5,6,5,4,3,2,1,1,0,-1,-2,-2,-1,-2,-1,-1,-2,-3,-4,-3,-2,-1,-2,-1,0,1,1,2,3,4,5,4,3,4,5,4,5,6,5,6,6,5,4,5,6,5,4,4,3,3,4,3,2,1,0,1,0,1,2,3,2,1,0,-1,-1,-1,-1,0,1,2,1,0,1,0,1,0,-1,-2,-3,-4,-3,-4,-3,-2,-3,-4,-5,-6,-7,-6,-5,-5,-4,-3,-4,-3,-2,-1,0,1,0,1,2,3,3,2,2,3,2,3,3,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LG,1,2,3,4,5,6,7,7,7,6,7,8,8,9,10,9,10,11,12,11,12,13,12,13,14,13,12,13,12,13,12,11,10,9,9,8,9,10,9,10,9,9,10,11,12,12,13,14,15,15,14,13,14,15,15,14,15,14,15,16,15,16,15,14,13,14,13,14,13,12,13,12,13,14,14,14,13,12,13,12,12,11,12,11,11,12,13,12,11,12,11,10,9,8,9,10,11,10,10,11,10,11,12,13,14,15,16,15,16,17,18,19,20,21,22,21,22,23,24,23,24,24,24,25,24,25,26,27,27,28,29,30,29,30,31,30,31,30,31,31,32,32,32,31,30,31,30,30,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30
두산,-1,-2,-3,-2,-3,-2,-3,-4,-4,-3,-2,-1,-2,-1,0,-1,-2,-3,-4,-3,-3,-3,-3,-2,-3,-4,-5,-4,-3,-4,-5,-4,-5,-6,-6,-7,-6,-5,-4,-5,-4,-4,-4,-4,-5,-6,-5,-4,-3,-3,-4,-5,-6,-7,-8,-7,-7,-8,-7,-8,-7,-8,-7,-8,-9,-10,-11,-10,-9,-10,-11,-12,-13,-14,-14,-13,-12,-13,-14,-13,-13,-12,-13,-12,-12,-13,-14,-15,-14,-15,-14,-15,-16,-15,-14,-13,-14,-13,-13,-13,-12,-11,-12,-11,-11,-12,-13,-12,-11,-11,-12,-13,-12,-13,-14,-13,-14,-13,-12,-13,-14,-14,-13,-12,-11,-10,-9,-8,-7,-8,-9,-10,-11,-12,-11,-10,-10,-11,-11,-11,-10,-9,-9,-9,-10,-11,-11,-12,-13,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14
KT,-1,0,1,0,1,2,1,1,1,2,1,0,0,-1,0,1,0,1,1,2,1,2,1,0,1,2,3,2,1,2,1,0,1,2,2,1,2,3,2,1,0,0,0,-1,-2,-2,-3,-2,-3,-3,-2,-1,-2,-1,0,-1,0,1,2,3,2,3,4,5,4,3,2,3,4,5,4,5,4,3,3,4,5,4,3,2,2,3,2,3,3,2,3,4,3,2,3,4,5,4,3,2,3,4,4,3,2,1,2,3,4,5,4,5,4,3,2,1,0,0,1,0,1,0,1,2,1,1,1,0,-1,0,1,0,-1,0,1,2,1,2,1,0,1,2,1,2,1,1,1,1,2,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
SSG,1,2,1,2,3,2,1,2,2,2,2,3,3,4,3,4,3,4,4,3,2,1,0,-1,-2,-1,-2,-1,0,1,0,-1,-2,-2,-1,0,-1,-2,-1,-2,-3,-3,-3,-4,-3,-2,-1,-2,-1,-1,-2,-1,0,1,2,1,0,1,0,0,1,2,1,2,3,4,5,4,3,2,3,4,3,2,2,1,2,3,2,3,3,3,2,1,1,2,3,2,3,2,3,2,3,4,3,4,3,2,2,2,1,0,-1,-2,-1,-2,-1,0,1,1,2,3,2,3,2,3,2,3,3,4,5,5,4,3,4,3,2,3,4,5,4,3,4,3,2,3,2,3,4,5,5,6,6,7,7,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
롯데,-1,-2,-1,-2,-3,-4,-3,-3,-3,-2,-1,-2,-1,-2,-3,-4,-3,-2,-1,-2,-1,0,1,2,1,2,2,1,2,3,4,3,4,5,6,7,6,5,4,5,6,6,6,7,8,8,7,8,7,7,8,9,10,9,9,10,9,10,9,8,8,7,8,7,6,7,6,5,4,5,6,5,6,7,7,8,7,6,7,8,9,9,10,10,9,10,9,8,9,8,9,10,9,8,9,8,9,8,8,7,8,7,6,7,8,9,10,11,12,11,12,11,12,13,12,13,12,11,11,10,9,8,7,6,5,5,4,3,3,2,1,2,3,2,3,2,2,3,2,1,1,0,0,0,-1,-2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
한화,1,0,-1,-2,-3,-2,-1,-2,-2,-3,-4,-5,-4,-5,-6,-5,-4,-3,-4,-3,-2,-1,0,1,2,3,3,4,3,2,3,4,5,6,6,7,7,8,9,10,11,12,13,13,14,14,13,12,11,11,12,11,10,11,10,9,10,9,10,9,10,9,10,11,10,11,12,11,10,11,10,11,12,13,13,13,14,15,14,13,13,13,14,14,13,14,13,14,13,14,13,13,14,15,16,17,18,19,19,20,21,22,23,22,22,23,22,21,20,21,22,21,21,21,20,21,20,19,18,19,20,21,22,23,22,21,20,19,18,17,18,19,20,21,22,21,20,19,20,21,21,21,22,21,22,23,23,23,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23
NC,-1,0,-1,0,1,0,-1,-1,-1,-1,-1,-2,-1,0,-1,-2,-1,-2,-3,-2,-2,-2,-2,-3,-4,-5,-4,-5,-4,-5,-6,-7,-8,-7,-7,-8,-7,-6,-5,-4,-3,-3,-3,-3,-2,-1,-2,-1,-2,-2,-1,-2,-1,-2,-1,0,0,1,0,0,-1,-2,-3,-4,-3,-4,-3,-4,-5,-4,-5,-5,-4,-3,-2,-3,-4,-3,-4,-3,-3,-4,-3,-3,-2,-3,-2,-1,-2,-3,-2,-2,-3,-4,-3,-2,-1,0,0,0,0,-1,-2,-3,-4,-3,-2,-1,-2,-1,-2,-1,0,0,-1,-2,-3,-2,-2,-1,0,0,-1,-2,-1,0,-1,-2,-1,0,1,0,1,0,-1,-2,-1,-2,-1,-2,-3,-4,-5,-4,-4,-3,-4,-4,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
키움,-1,-2,-3,-2,-1,0,1,0,0,-1,-2,-1,-2,-3,-4,-3,-4,-5,-4,-5,-6,-7,-8,-7,-8,-9,-8,-9,-10,-11,-10,-9,-10,-11,-12,-11,-12,-13,-14,-15,-14,-15,-16,-16,-17,-17,-18,-19,-20,-20,-21,-20,-21,-22,-23,-24,-25,-26,-27,-28,-29,-29,-30,-29,-28,-29,-28,-27,-26,-25,-26,-26,-27,-28,-28,-29,-30,-31,-30,-31,-31,-31,-32,-31,-32,-32,-31,-30,-29,-28,-29,-30,-31,-32,-33,-34,-35,-34,-34,-34,-34,-35,-34,-35,-36,-37,-38,-39,-40,-40,-41,-40,-41,-42,-41,-40,-39,-40,-41,-40,-41,-41,-40,-39,-38,-39,-40,-39,-38,-39,-40,-41,-42,-43,-44,-43,-44,-43,-44,-43,-43,-44,-44,-44,-43,-43,-42,-42,-43,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42
